title;text

"Lose Klobrillen waren bisher ja geradezu eine Einladung zum Stehpinkeln""""", erklärt der Däne Jens Iversen, der bereits seit 1997 im EU-Parlament für die Neuregelung wirbt. Doch erst, seit sich auch Gleichstellungspolitiker der Sache angenommen haben, fand das Anliegen die nötige Zustimmung im Parlament. Da nach wie vor mehr Frauen als Männer sitzend urinieren, dienen fest montierte Toilettensitze vor allem auch ihrem Schutz, so das Argument der neuen Befürworter.  
Kritiker der Regelung dagegen bemängeln, dass sich eingefleischte Stehpinkler auch von fest montierten Klobrillen nicht von ihren Gewohnheiten abbringen lassen. Vielmehr werde die Lage auf europäischen Toiletten so noch weiter verschärft. Ihrer Meinung nach lässt sich das Problem nur durch eine Absenkung der Deckenhöhe in Toilettenräumen auf höchstens 1,50 Meter +/- Länderdurchschnittsgrößenkoeffizient nach EU-Richtlinie 75/258/EG nachhaltig lösen. 
Baumärkte und Sanitärbetriebe rechnen in den nächsten Monaten mit vermehrten Hamsterkäufen herkömmlicher Toilettensitze, bevor die neue Regelung zum Sitzpinklerschutz zum 01.01.2016 in Kraft tritt. Ab März 2016 sollen dann unangekündigte Inspektionen sicherstellen," dass das Gesetz auch in Privathaushalten eingehalten wird. Etwaige Verstöße werden an Ort und Stelle durch die kostenpflichtige Vernietung der Klobrille geahndet. Idee: gka; Fotos [M]: Shutterstock"""
"Stabilitätsanker im Nahen Osten bombardiert Nachbarland;""Wird der Nahe Osten jetzt noch stabiler? In der Nacht zum Donnerstag hat Saudi-Arabien Stellungen der Huthi-Rebellen im Nachbarland Jemen angegriffen und bereitet derzeit offenbar einen größeren Kriegseinsatz vor. Der ausgewiesene Stabilitätsanker der Region will damit vermutlich zu Frieden und Sicherheit im Nahen Osten beitragen – ähnlich wie bereits der Bündnispartner USA im Irak."

Als Ordnungsgarant des gesamten arabischen Raums tut Saudi-Arabien derzeit alles, was sich die Bundesregierung bei ihren wiederholten Waffenlieferungen an das Königreich erhofft hat”," erklärt Sicherheitsexperte Oskar Renger. """"Man kann die sich dank des saudi-arabischen Bombardements anbahnende Stabilität im Jemen förmlich greifen."""" "


Diese jemenitische Ortschaft ist stabilisiert.

Besonders lobt Renger die Weitsicht des früheren Verteidigungsministers Thomas de Maizière," der die """"mäßigende Rolle"""" Saudi-Arabiens mit dem Export deutscher Waffen unterstützte. """"Das zahlt sich gerade jetzt aus"," da das Land mit einer 150.000 Mann starken Mäßigungstruppe an der Grenze zum Jemen steht und mit seinen Jets mäßigende Bomben abwirft"""""," so der Experte. """"Ein Land mit so vielen unterschiedlichen Interessengruppen wie etwa der Assad-Reg- ... Verzeihung: den Regierungstruppen des abgesetzten Präsidenten", den Huthi-Rebellen, al-Qaida und diversen Stammesverbänden lechzt geradezu danach," dass noch jemand von außen kommt und ein wenig Stabilität mitbringt."""" "
"Gleichzeitig mahnte Renger vor einer voreiligen Verurteilung Saudi-Arabiens aufgrund der Unterdrückung des eigenen Volkes und der Anwendung der Scharia. """"In so einer Lage sollte das nicht zu sehr in den Fokus rücken. Immerhin ist Saudi-Arabien – haben Sie darüber schon einmal nachgedacht? – ein Stabilitätsanker im Nahen Osten."""" Foto oben: InsectWorld / Shutterstock.com"," Foto rechts: © dpa - Picture-Alliance"""
"Peinlich! Angela Merkel trägt bei Staatsbesuch von Alexis Tsipras keine Krawatte;""Kann man so sein Land vertreten? Bei ihrem Treffen mit dem griechischen Ministerpräsidenten Alexis Tsipras ist Bundeskanzlerin Angela Merkel ohne Krawatte erschienen und hat damit einen internationalen Eklat provoziert. Kritiker werfen ihr vor", mit ihrer Missachtung der Etikette ihre griechischen Gäste bloßgestellt zu haben. 

"Als Kanzlerin des wirtschaftlich stärksten Landes Europas kann man sich nicht so gehen lassen""""", tadelt der frühere Botschafter der Schweiz," Philippe Carlin. """"Auf dem internationalen Parkett gelten klare Dresscodes"," über die man sich nicht einfach so hinwegsetzt. Das ist wie ein Mittelfinger ins Gesicht der griechischen Delegation."""""
Besonders pikant: Tsipras schien den Ausrutscher der Kanzlerin zwar zur Kenntnis genommen zu haben, überspielte die für alle Beteiligten hochpeinliche Situation jedoch geschickt und ließ sich nichts anmerken. Offenbar wollte er die Blamage der Kanzlerin nicht noch weiter vergrößern. 
Bislang ist noch unklar, wie Merkel den Schaden durch ihren Fauxpas auf der internationalen Bühne beheben will. Es wäre jedoch das Mindeste, wenn die Kanzlerin ihrem düpierten Gast bei allen künftigen Verhandlungen vollumfänglich entgegenkommen würde – koste es, was es wolle.
"ssi/dan; Foto: © dpa - Picture-Alliance"""
"Thüringen schafft V-Leute ab: NPD-Landesverband steht vor Auflösung;""Ein ganzer Landesverband steht vor dem Aus: Nachdem die rot-rot-grüne Regierung in Thüringen unter Ministerpräsident Bodo Ramelow (Linke) vergangenen Freitag die Abschaffung aller V-Leute verkündet hat", bereitet die dortige NPD laut internen Quellen ihre Auflösung vor. Grund seien erwartbare Engpässe bei der Parteienfinanzierung sowie drohende private Geldsorgen eines Großteils der Mitglieder. 



Auch er ist betroffen: V-Mann Dirk-Timo Glöckner aus 99084 Erfurt, Bismarckstraße 47

